grid_id,grid_name,latitude,longitude,population_2020,population_2025,population_density_per_sq_km,growth_rate_percent,accessibility_score,infrastructure_index
G001,Mylapore-North,13.035,80.270,42000,45000,5294,1.4,92,88
G002,Mylapore-South,13.025,80.270,40000,42500,5000,1.2,90,86
G003,T-Nagar-West,13.020,80.210,35000,38000,6129,1.7,88,84
G004,T-Nagar-East,13.025,80.230,38000,40000,6452,1.0,89,85
G005,Choolaimedu-Central,13.040,80.180,39000,42000,5385,1.5,85,82
G006,Choolaimedu-South,13.035,80.175,38000,40500,5064,1.3,83,80
G007,Kalakshetra,12.925,80.305,2200,2400,192,1.8,45,35
G008,Alandur-West,12.975,80.240,3200,3500,376,1.8,52,42
G009,Alandur-East,12.985,80.260,3100,3400,365,1.8,50,40
G010,Kodambakkam-Central,13.020,80.190,33000,35000,6364,1.5,84,81
G011,Kodambakkam-North,13.025,80.185,32000,34000,6182,1.5,82,79
G012,Ekkatuthangal,13.005,80.160,1600,1800,118,2.4,38,28
G013,Pallikaranai-East,12.950,80.205,300,400,50,7.4,22,15
G014,Pallikaranai-West,12.955,80.195,250,350,44,8.0,20,12
G015,Kancheepuram-Urban,13.200,80.350,7500,8000,314,1.3,48,38
G016,Kancheepuram-Rural,13.220,80.360,5000,5500,215,2.0,35,25
G017,Tambaram-North,13.055,80.185,30000,32000,5333,1.3,80,77
G018,Tambaram-South,13.045,80.175,28000,30000,5000,1.4,78,75
G019,Maduravoyal-Central,13.105,80.240,3000,3200,305,1.3,45,35
G020,Maduravoyal-South,13.095,80.235,2800,3000,286,1.4,42,32
G021,Irumbuliyur,12.880,80.320,2200,2500,135,3.3,36,26
G022,Red-Hills-Area,13.060,80.200,900,1000,133,2.2,55,45
G023,Semmenchery-Central,13.085,80.260,26000,28000,6222,1.5,79,76
G024,Semmenchery-North,13.095,80.265,27000,29000,6444,1.5,81,78
G025,Urapakkam,12.895,80.280,1400,1600,114,3.3,28,18
G026,Poonamallee-West,13.120,80.160,2600,2800,318,1.7,40,30
G027,Poonamallee-East,13.130,80.170,2700,2900,329,1.6,42,32
G028,Kundrathur,13.150,80.120,2000,2200,110,2.1,32,22
G029,Perambur-Industrial,13.100,80.305,23000,25000,4808,1.7,72,68
G030,Perambur-Residential,13.110,80.295,21000,23000,4423,1.9,70,66
G031,Velachery-North,13.005,80.245,38000,40000,5882,1.3,85,82
G032,Velachery-South,12.995,80.240,36000,38000,5588,1.4,83,80
G033,Ayanavaram-Central,13.055,80.325,1900,2100,175,2.2,45,35
G034,Ayanavaram-South,13.045,80.320,1800,2000,167,2.2,42,32
G035,Keesaragaruppan,13.200,80.140,150,200,36,5.9,15,8
G036,Villianur,12.920,80.340,2200,2400,145,1.8,32,22
G037,Red-Hills-Industrial,13.085,80.185,16000,18000,5625,2.4,60,52
G038,Thiruvallur-Area,12.975,80.150,2500,2700,360,1.6,40,30
G039,Thalambur,13.175,80.280,1700,1900,173,2.3,38,28
G040,Manali-Urban,13.160,80.245,24000,26000,5417,1.6,75,72
G041,Mogappair-Central,13.090,80.190,28000,30000,5455,1.7,81,78
G042,Mogappair-South,13.085,80.185,25000,27000,4909,1.6,79,76
G043,Selaiyur,12.925,80.295,500,600,92,3.8,25,15
G044,Vandalur-Lake,13.030,80.285,0,0,0,0,10,5
G045,Anakaputhur-North,13.220,80.320,2600,2800,151,1.6,36,26
G046,Anakaputhur-South,13.215,80.315,2400,2600,140,1.7,34,24
G047,Outlying-Area-1,13.25,80.40,800,1000,52,5.6,28,18
G048,Outlying-Area-2,12.80,80.10,900,1100,57,5.0,26,16
G049,Suburban-Zone-North,13.30,80.35,1200,1500,79,5.5,32,22
G050,Suburban-Zone-South,12.85,80.25,1100,1400,73,6.3,30,20
area_average,Greater Chennai Metropolitan,13.05,80.25,21950,23700,2400,2.1,52,42
