grid_id,location,latitude,longitude,elevation_m,slope_degrees,aspect_direction,terrain_type,construction_feasibility,flood_risk_score
E001,Industrial-North,13.100,80.305,18,1.2,135,Flat-Plain,95,15
E002,Industrial-Central,13.090,80.300,19,1.5,90,Flat-Plain,94,16
E003,Industrial-South,13.080,80.295,21,2.1,180,Flat-Plain,92,18
E004,Urban-Central-1,13.050,80.250,22,1.8,0,Flat-Plain,93,17
E005,Urban-Central-2,13.045,80.245,23,2.3,45,Flat-Plain,92,19
E006,Urban-North,13.080,80.210,24,2.5,90,Flat-Plain,91,20
E007,Urban-South,13.020,80.220,21,1.9,270,Flat-Plain,93,19
E008,Residential-East,13.050,80.280,25,2.8,135,Gentle-Slope,90,22
E009,Residential-West,13.040,80.180,26,3.2,225,Gentle-Slope,89,24
E010,Residential-South,13.010,80.200,22,2.0,180,Flat-Plain,92,18
E011,Mixed-Use-1,13.030,80.260,27,3.5,90,Gentle-Slope,88,26
E012,Mixed-Use-2,13.025,80.240,28,3.8,135,Gentle-Slope,87,28
E013,Semi-Urban-North,13.120,80.240,32,5.2,45,Moderate-Slope,80,35
E014,Semi-Urban-South,13.090,80.200,35,6.1,90,Moderate-Slope,78,38
E015,Semi-Urban-East,13.100,80.290,38,7.2,180,Moderate-Slope,75,42
E016,Rural-North,13.150,80.150,45,8.5,270,Moderate-Slope,68,48
E017,Rural-Central,13.120,80.180,52,10.3,0,Moderate-Slope,62,55
E018,Rural-South,13.080,80.120,58,12.1,45,Steep-Slope,55,62
E019,Fringe-1,12.950,80.200,29,4.2,135,Gentle-Slope,86,32
E020,Fringe-2,12.920,80.250,35,6.8,90,Moderate-Slope,76,40
E021,Low-Lying-Wet,12.880,80.280,8,0.5,0,Depression,20,85
E022,Low-Lying-Wet-2,12.900,80.260,6,0.3,180,Depression,15,92
E023,Elevated-Hills,13.200,80.350,75,18.5,45,Steep-Slope,35,20
E024,Elevated-Ridge,13.220,80.320,82,21.2,90,Steep-Slope,30,15
E025,Coastal-Low,13.300,80.380,3,0.2,135,Depression,10,95
E026,Water-Adjacent-1,13.060,80.200,12,0.8,0,Depression,25,88
E027,Water-Adjacent-2,13.050,80.190,10,0.6,180,Depression,22,90
E028,Transitional-1,13.040,80.170,30,4.5,45,Gentle-Slope,85,34
E029,Transitional-2,13.070,80.160,33,5.8,90,Moderate-Slope,79,40
E030,Transitional-3,13.090,80.140,40,8.0,270,Moderate-Slope,72,46
E031,Valley-1,13.100,80.200,16,1.1,0,Flat-Plain,94,14
E032,Valley-2,13.110,80.210,17,1.3,45,Flat-Plain,93,15
E033,Ridge-1,13.160,80.280,65,15.5,135,Steep-Slope,45,25
E034,Ridge-2,13.180,80.290,72,17.8,90,Steep-Slope,38,20
E035,Field-Agricultural,13.110,80.160,38,7.0,180,Moderate-Slope,76,44
E036,Field-Fallow,13.140,80.150,42,8.2,270,Moderate-Slope,70,50
E037,Plain-Open,12.950,80.240,20,1.5,0,Flat-Plain,94,16
E038,Plain-Open-2,12.970,80.220,21,1.7,45,Flat-Plain,93,17
E039,Depression-Wetland,12.900,80.290,5,0.2,90,Depression,12,94
E040,Stream-Valley,13.080,80.240,14,0.9,180,Depression,28,86
E041,Urban-Transition,13.055,80.270,28,3.9,135,Gentle-Slope,87,29
E042,Semi-Urban-Mixed,13.095,80.220,34,5.9,45,Moderate-Slope,77,41
E043,Development-Zone,13.115,80.190,40,7.5,90,Moderate-Slope,73,47
E044,Reserve-Area,13.145,80.170,50,11.2,270,Moderate-Slope,58,60
E045,Buffer-Zone,13.175,80.160,60,14.5,0,Steep-Slope,48,68
E046,Outlying-Rural,13.210,80.140,70,16.8,45,Steep-Slope,40,75
E047,Isolated-Hill,13.240,80.360,85,22.5,90,Steep-Slope,28,35
E048,Lowland-Plain,12.850,80.100,15,1.2,180,Flat-Plain,94,18
E049,Mid-Level-Area,13.050,80.150,30,4.8,270,Gentle-Slope,84,36
E050,High-Level-Area,13.180,80.200,70,16.2,135,Steep-Slope,42,72
elevation_statistics,STATISTICS,13.073,80.240,34.86,6.82,F,Average,70,43
